WILAYAH,Persentase_Penduduk_Miskin,Tingkat_Pengangguran_Terbuka,Jumlah_Penduduk,IPM
Simeulue,18.49,5.47,95304,66.03
Aceh Singkil,20.2,8.24,123842,68.94
Aceh Selatan,12.87,6.54,242196,67.12
Aceh Tenggara,13.21,5.72,216264,69.37
Aceh Timur,14.08,7.26,436086,67.63
Aceh Tengah,15.08,3.05,212120,73.24
Aceh Barat,18.34,7.3,209500,71.38
Aceh Besar,13.84,7.62,424433,73.56
Pidie,19.23,6.45,447875,70.63
Bireuen,13.06,4.12,470554,72.28
Aceh Utara,17.02,8.56,622765,69.33
Aceh Barat Daya,15.93,3.93,151826,66.75
Gayo Lues,19.32,2.01,93945,67.22
Aceh Tamiang,13.08,7.97,297389,69.24
Nagan Raya,17.7,5.11,166795,69.18
Aceh Jaya,12.87,4.08,94382,69.75
Bener Meriah,18.89,1.35,148157,72.98
Pidie Jaya,19.19,6.58,160866,73.2
Kota Banda Aceh,6.9,9.54,272202,85.41
Kota Sabang,14.94,4.81,34589,75.78
Kota Langsa,10.44,9.75,178667,77.17
Kota Lhokseumawe,10.8,11.99,207242,77.31
Kota Subulussalam,17.6,6.93,81094,64.93
Nias,16.6,3.49,143983,61.65
Mandailing Natal,9.18,6.5,451028,66.52
Tapanuli Selatan,8.47,4.42,283389,69.75
Tapanuli Tengah,12.38,7.54,382917,68.86
Tapanuli Utara,9.37,2.94,303688,73.33
Toba Samosir,8.71,2.5,184493,74.92
Labuhan Batu,8.44,6.05,501596,71.94
Asahan,9.04,7.24,735026,69.92
Simalungun,8.46,4.58,871678,72.98
Dairi,8.04,1.75,285481,71.42
Karo,8.7,1.83,421997,74.25
Deli Serdang,3.88,9.5,2234320,75.43
Langkat,9.73,7.02,1048100,70.76
Nias Selatan,16.74,4.15,322520,61.59
Humbang Hasundutan,9.36,0.84,191776,68.83
Pakpak Bharat,9.28,1.93,49688,67.47
Samosir,12.48,1.2,126710,70.55
Serdang Bedagai,7.97,5.54,617772,70.21
Batu Bara,11.88,6.48,420103,68.35
Padang Lawas Utara,9.7,3.11,277423,69.29
Padang Lawas,8.37,4.11,286627,68.16
Labuhan Batu Selatan,8.34,4.9,344819,71.39
Labuhan Batu Utara,9.53,6.82,366603,71.43
Nias Utara,25.07,4.54,138800,61.98
Nias Barat,25.69,1.71,82425,61.14
Kota Sibolga,11.95,8,87791,73.41
Kota Tanjung Balai,13.33,6.97,177005,68.51
Kota Pematang Siantar,8.27,11.5,257110,78.57
Kota Tebing Tinggi,9.85,9.98,166100,75.08
Kota Medan,8.01,10.74,2295003,80.97
Kota Binjai,5.71,8.67,279302,75.89
Kota Padangsidimpuan,7.4,7.45,224483,75.06
Kota Gunungsitoli,16.41,5.94,143776,69.3
Kepulauan Mentawai,14.35,3.98,87623,61.09
Pesisir Selatan,7.61,7,504418,69.9
Solok,7.81,4.65,391497,69.08
Sijunjung,6.78,5.3,235045,67.74
Tanah Datar,4.4,4.79,371704,72.33
Padang Pariaman,6.95,8.13,430626,70.61
Agam,6.75,4.61,529138,72.46
Lima Puluh Kota,6.86,3.03,383525,69.47
Pasaman,7.16,5.04,299851,66.64
Solok Selatan,7.15,5.62,182027,69.04
Dharmasraya,6.23,5.31,228591,71.51
Pasaman Barat,7.04,4.69,431672,68.49
Kota Padang,4.4,13.64,909040,82.82
Kota Solok,2.77,8.35,73438,78.29
Kota Sawah Lunto,2.16,8.2,65138,72.64
Kota Padang Panjang,5.24,7.22,56311,77.93
